central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight,impact_score,contribution_hit_rate,refinement_multiplier,refined_signed_weight,refined_abs_weight,refined_normalized_abs_weight,weight_change,refinement_rationale
BOC,CAD,cpi_headline_yoy,Headline CPI (YoY),Inflation,"inflation,unemployment",0.05360716239741377,0.05360716239741377,0.8306857700932573,0.1067646977476395,0.3886655144833463,"Linked to inflation, unemployment; strongest target link is inflation with Pearson 0.96. strong positive Pearson correlation (0.96); Spearman 0.90; same macro theme; PCA loading signal 0.39; model importance signal 0.09",0.07375392708971497,-0.09052591194776502,0.5333333333333333,0.909474088052235,0.04875432513445595,0.04875432513445595,0.06931545732880239,-0.004438469760912583,Mostly unchanged: validation signal was neutral.
BOC,CAD,full_time_employment_change,Full-Time Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03840365823982607,0.03840365823982607,0.3428640283951741,0.007501213029749866,0.2939698828103399,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.80. strong positive Pearson correlation (0.80); Spearman 0.27; PCA loading signal 0.29",0.052836607705523904,0.06679461837228579,0.52,1.0667946183722858,0.04096881593605494,0.04096881593605494,0.0582465700221586,0.005409962316634695,Mostly unchanged: validation signal was neutral.
BOC,CAD,employment_change,Employment Change,Labor,"gdp_growth,inflation,unemployment",0.03920873241256186,0.03920873241256186,0.3241939070086081,0.0167013752616463,0.3072153942361847,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05",0.05394424666983948,0.017254881213679945,0.49333333333333335,1.01725488121368,0.03988527443287958,0.03988527443287958,0.05670606721301893,0.002761820543179451,Mostly unchanged: validation signal was neutral.
BOC,CAD,retail_sales_yoy,Retail Sales (YoY),Growth,"gdp_growth,inflation,unemployment",0.0321505005935775,0.0321505005935775,0.20281551725394087,0.023081658935960436,0.1666807823077939,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.14. weak positive Pearson correlation (0.14); Spearman 0.23; same macro theme; PCA loading signal 0.17; model importance signal 0.03",0.044233374247597754,0.09535813774197277,0.5555555555555556,1.0953581377419728,0.03521631245765324,0.03521631245765324,0.05006806671416917,0.005834692466571416,Mostly unchanged: validation signal was neutral.
BOC,CAD,ppi_yoy,PPI (YoY),Inflation,"gdp_growth,inflation,unemployment",0.03754761994627243,0.03754761994627243,0.2773205933637836,0.01954275594015657,0.2850960545906697,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.57. moderate positive Pearson correlation (0.57); Spearman 0.52; same macro theme; PCA loading signal 0.29; model importance signal 0.05",0.051658851169546445,-0.0708163488829401,0.4594594594594595,0.9291836511170599,0.03488863459243317,0.03488863459243317,0.04960219746007497,-0.002056653709471473,Mostly unchanged: validation signal was neutral.
BOC,CAD,cpi_headline_mom,Headline CPI (MoM),Inflation,"gdp_growth,inflation,unemployment",0.035063565123467394,0.035063565123467394,0.2787170039778358,0.029978026589371296,0.1987183854875247,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.28. weak positive Pearson correlation (0.28); Spearman 0.25; same macro theme; PCA loading signal 0.20; model importance signal 0.04",0.048241233260025156,-0.005299562421689736,0.4722222222222222,0.9947004375783103,0.034877743571368594,0.034877743571368594,0.049586713375252,0.001345480115226845,Mostly unchanged: validation signal was neutral.
BOC,CAD,composite_pmi,Composite PMI,Growth,"gdp_growth,inflation,unemployment",-0.02341780082369053,0.02341780082369053,0.2509102333400957,0.0,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.25. weak negative Pearson correlation (-0.25); Spearman -0.26; same macro theme",0.032218731552096924,0.4532564614046948,0.6206896551724138,1.4532564614046948,-0.03403207035891645,0.03403207035891645,0.048384394907912354,0.01616566335581543,Increased: contribution aligned with forward FX returns.
BOC,CAD,services_pmi,Services PMI,Growth,"gdp_growth,inflation,unemployment",-0.023074113619511297,0.023074113619511297,0.24831852611267324,0.0020137503334054997,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.26. weak negative Pearson correlation (-0.26); Spearman -0.28; same macro theme; model importance signal 0.01",0.031745879047597896,0.4192048461000227,0.6,1.4192048461000226,-0.03274689386827297,0.03274689386827297,0.046557221709401166,0.01481134266180327,Increased: contribution aligned with forward FX returns.
BOC,CAD,ivey_pmi_sa,Ivey PMI s.a.,Growth,"gdp_growth,inflation,unemployment",0.033055452820978534,0.033055452820978534,0.24471288634694507,0.02023480185118823,0.2313669662300276,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.36. weak positive Pearson correlation (0.36); Spearman 0.27; same macro theme; PCA loading signal 0.23; model importance signal 0.03",0.045478427662374865,-0.026021500042291004,0.5070422535211268,0.973978499957709,0.03219530035399949,0.03219530035399949,0.045773004994350254,0.0002945773319753889,Mostly unchanged: validation signal was neutral.
BOC,CAD,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,"gdp_growth,inflation,unemployment",0.034657558383766995,0.034657558383766995,0.24181716929488636,0.0,0.2611480041221345,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.40. moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26",0.04768264015159305,-0.07213883001935188,0.4594594594594595,0.9278611699806482,0.03215740267063467,0.03215740267063467,0.04571912474379011,-0.0019635154078029363,Mostly unchanged: validation signal was neutral.
